contract,field,ground_truth,model_output,model,method,reasoning,judgment
01_service_gpaq.pdf,parties,"HOFV and/or PFHOF, on the one hand, and Constellation, on the other hand, are referred to herein as a ""Party"" and, collectively, as the ""Parties"".
(""PFHOF"" and, together with HOFV, the ""HOF Entities""
on behalf of itself and its retail affiliates and subsidiaries (collectively, ""Constellation"")
HOF Village, LLC
Constellation NewEnergy, Inc.
HOFV
National Football Museum, Inc., d/b/a Pro Football Hall of Fame","HOF Village, LLC
National Football Museum, Inc. d/b/a Pro Football Hall of Fame
Constellation NewEnergy, Inc.",gpt-5-mini,llm_judge,"The model output contains the same legal entities as the ground truth: HOF Village, LLC, National Football Museum, Inc. d/b/a Pro Football Hall of Fame, and Constellation NewEnergy, Inc. Shorthand aliases are ignored as per the instructions.",MATCH
01_service_gpaq.pdf,contract_type,Service Agreement,Sponsorship Agreement,gpt-5-mini,exact_match,Exact match: 'Service Agreement' vs 'Sponsorship Agreement',NO_MATCH
01_service_gpaq.pdf,notice_period,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
01_service_gpaq.pdf,expiration_date,"The term of this Agreement (the ""Term""), unless mutually extended by written agreement of the Parties or unless sooner terminated as provided herein, shall commence effective as of the date hereof and shall expire on December 31, 2028.",2028-12-31,gpt-5-mini,llm_judge,"The model output ""2028-12-31"" correctly captures the expiration date specified in the ground truth which is ""December 31, 2028"".",MATCH
01_service_gpaq.pdf,renewal_term,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
01_service_gpaq.pdf,parties,"HOFV and/or PFHOF, on the one hand, and Constellation, on the other hand, are referred to herein as a ""Party"" and, collectively, as the ""Parties"".
(""PFHOF"" and, together with HOFV, the ""HOF Entities""
on behalf of itself and its retail affiliates and subsidiaries (collectively, ""Constellation"")
HOF Village, LLC
Constellation NewEnergy, Inc.
HOFV
National Football Museum, Inc., d/b/a Pro Football Hall of Fame","HOF Village, LLC
National Football Museum, Inc.
Constellation NewEnergy, Inc.",flash,llm_judge,"The model accurately extracts the legal entity names: HOF Village, LLC; National Football Museum, Inc.; and Constellation NewEnergy, Inc. It omits the aliases (HOFV, PFHOF, Constellation) and role labels (Licensor, Licensee, Seller, Buyer) as instructed.",MATCH
01_service_gpaq.pdf,contract_type,Service Agreement,Sponsorship Agreement,flash,exact_match,Exact match: 'Service Agreement' vs 'Sponsorship Agreement',NO_MATCH
01_service_gpaq.pdf,notice_period,,,flash,empty_check,Both ground truth and model output are empty,MATCH
01_service_gpaq.pdf,expiration_date,"The term of this Agreement (the ""Term""), unless mutually extended by written agreement of the Parties or unless sooner terminated as provided herein, shall commence effective as of the date hereof and shall expire on December 31, 2028.",2028-12-31,flash,llm_judge,"The model output '2028-12-31' correctly captures the expiration date of 'December 31, 2028' from the ground truth.",MATCH
01_service_gpaq.pdf,renewal_term,,,flash,empty_check,Both ground truth and model output are empty,MATCH
02_service_reynolds.pdf,parties,"Reynolds Group Holdings Inc.
RGHI
(the ""Company"" or ""RCP"")
Reynolds Consumer Products Inc.
Each Party or any of its Affiliates providing services hereunder shall be a ""Provider,"" and each Party or any of its Affiliates receiving services hereunder shall be a ""Recipient.""","Reynolds Group Holdings Inc.
Reynolds Consumer Products Inc.",sonnet,llm_judge,"The model correctly extracted 'Reynolds Group Holdings Inc.' and 'Reynolds Consumer Products Inc.' from the ground truth, ignoring aliases and roles.",MATCH
02_service_reynolds.pdf,contract_type,Service Agreement,Service Agreement,sonnet,exact_match,Exact match: 'Service Agreement' vs 'Service Agreement',MATCH
02_service_reynolds.pdf,notice_period,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
02_service_reynolds.pdf,expiration_date,"With respect to each of the Services, the term thereof will be for a period commencing as of the date hereof, unless a different date is specified as the commencement date for any applicable Service on Exhibit A or Exhibit B (either, a ""Commencement Date""), and shall continue until 12 months following the Commencement Date unless (i) such other date as is specified as the termination date for any applicable Service in this Agreement or on Exhibit A or Exhibit B, as applicable (the ""Term"") or (ii) earlier terminated pursuant to this Agreement (a ""Termination Date"").",12 months following the Commencement Date,sonnet,llm_judge,The model output '12 months following the Commencement Date' accurately reflects the expiration date described in the ground truth.,MATCH
02_service_reynolds.pdf,renewal_term,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
02_service_reynolds.pdf,parties,"Reynolds Group Holdings Inc.
RGHI
(the ""Company"" or ""RCP"")
Reynolds Consumer Products Inc.
Each Party or any of its Affiliates providing services hereunder shall be a ""Provider,"" and each Party or any of its Affiliates receiving services hereunder shall be a ""Recipient.""","Reynolds Group Holdings Inc.
Reynolds Consumer Products Inc.",gpt-5,llm_judge,"The model correctly identifies the legal entity names Reynolds Group Holdings Inc. and Reynolds Consumer Products Inc., which are present in the ground truth. It omits aliases and role descriptors as instructed.",MATCH
02_service_reynolds.pdf,contract_type,Service Agreement,Service Agreement,gpt-5,exact_match,Exact match: 'Service Agreement' vs 'Service Agreement',MATCH
02_service_reynolds.pdf,notice_period,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
02_service_reynolds.pdf,expiration_date,"With respect to each of the Services, the term thereof will be for a period commencing as of the date hereof, unless a different date is specified as the commencement date for any applicable Service on Exhibit A or Exhibit B (either, a ""Commencement Date""), and shall continue until 12 months following the Commencement Date unless (i) such other date as is specified as the termination date for any applicable Service in this Agreement or on Exhibit A or Exhibit B, as applicable (the ""Term"") or (ii) earlier terminated pursuant to this Agreement (a ""Termination Date"").",12 months following the Commencement Date,gpt-5,llm_judge,"Model output correctly extracts the expiration date/term as ""12 months following the Commencement Date"" which is what the Ground Truth states.",MATCH
02_service_reynolds.pdf,renewal_term,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
02_service_reynolds.pdf,parties,"Reynolds Group Holdings Inc.
RGHI
(the ""Company"" or ""RCP"")
Reynolds Consumer Products Inc.
Each Party or any of its Affiliates providing services hereunder shall be a ""Provider,"" and each Party or any of its Affiliates receiving services hereunder shall be a ""Recipient.""","Reynolds Group Holdings Inc.
Reynolds Consumer Products Inc.",gpt-5-mini,llm_judge,The model correctly extracted both Reynolds Group Holdings Inc. and Reynolds Consumer Products Inc.,MATCH
02_service_reynolds.pdf,contract_type,Service Agreement,Service Agreement,gpt-5-mini,exact_match,Exact match: 'Service Agreement' vs 'Service Agreement',MATCH
02_service_reynolds.pdf,notice_period,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
02_service_reynolds.pdf,expiration_date,"With respect to each of the Services, the term thereof will be for a period commencing as of the date hereof, unless a different date is specified as the commencement date for any applicable Service on Exhibit A or Exhibit B (either, a ""Commencement Date""), and shall continue until 12 months following the Commencement Date unless (i) such other date as is specified as the termination date for any applicable Service in this Agreement or on Exhibit A or Exhibit B, as applicable (the ""Term"") or (ii) earlier terminated pursuant to this Agreement (a ""Termination Date"").",12 months following the Commencement Date,gpt-5-mini,llm_judge,"The Model output correctly extracts the expiration date/term as '12 months following the Commencement Date,' which aligns with the ground truth.",MATCH
02_service_reynolds.pdf,renewal_term,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
02_service_reynolds.pdf,parties,"Reynolds Group Holdings Inc.
RGHI
(the ""Company"" or ""RCP"")
Reynolds Consumer Products Inc.
Each Party or any of its Affiliates providing services hereunder shall be a ""Provider,"" and each Party or any of its Affiliates receiving services hereunder shall be a ""Recipient.""","Reynolds Group Holdings Inc.
Reynolds Consumer Products Inc.",flash,llm_judge,The model correctly identifies the two legal entities: Reynolds Group Holdings Inc. and Reynolds Consumer Products Inc.,MATCH
02_service_reynolds.pdf,contract_type,Service Agreement,Service Agreement,flash,exact_match,Exact match: 'Service Agreement' vs 'Service Agreement',MATCH
02_service_reynolds.pdf,notice_period,,,flash,empty_check,Both ground truth and model output are empty,MATCH
02_service_reynolds.pdf,expiration_date,"With respect to each of the Services, the term thereof will be for a period commencing as of the date hereof, unless a different date is specified as the commencement date for any applicable Service on Exhibit A or Exhibit B (either, a ""Commencement Date""), and shall continue until 12 months following the Commencement Date unless (i) such other date as is specified as the termination date for any applicable Service in this Agreement or on Exhibit A or Exhibit B, as applicable (the ""Term"") or (ii) earlier terminated pursuant to this Agreement (a ""Termination Date"").",24 months following the Commencement Date,flash,llm_judge,"The ground truth specifies a term of 12 months following the Commencement Date, while the model output indicates 24 months. This is not a match.",NO_MATCH
02_service_reynolds.pdf,renewal_term,,,flash,empty_check,Both ground truth and model output are empty,MATCH
03_service_verizon.pdf,parties,"Servicer
Marketing Agent
Depositor
Issuer
VERIZON ABS LLC
Custodian
VERIZON OWNER TRUST 2020-A
Cellco Partnership d/b/a Verizon Wireless
Cellco","Verizon Owner Trust 2020-A
Verizon ABS LLC
Cellco Partnership d/b/a Verizon Wireless",sonnet,llm_judge,"The model output includes all of the legal entities listed in the ground truth, ignoring role labels, aliases and descriptive text.",MATCH
03_service_verizon.pdf,contract_type,Service Agreement,Service Agreement,sonnet,exact_match,Exact match: 'Service Agreement' vs 'Service Agreement',MATCH
03_service_verizon.pdf,notice_period,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
03_service_verizon.pdf,expiration_date,"Cellco's appointment as custodian is effective as of the Initial Cutoff Date and will continue until the later of (i) the date on which all obligations of the Issuer have been paid in full and (ii) the date on which such appointment is terminated under this Section 3.10(f).
This Agreement will terminate on the earlier to occur of (a) the date upon which the last remaining Receivable is paid in full, settled, sold or written off and any amounts received are applied and (b) the Issuer is terminated under Section 8.1 of the Trust Agreement.",2024-07-20,sonnet,llm_judge,The model output provides a specific date (2024-07-20) while the ground truth describes complex conditions for termination dependent on debt obligations and other clauses. The date given in the model output does not capture the conditions described in the ground truth.,NO_MATCH
03_service_verizon.pdf,renewal_term,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
03_service_verizon.pdf,parties,"Servicer
Marketing Agent
Depositor
Issuer
VERIZON ABS LLC
Custodian
VERIZON OWNER TRUST 2020-A
Cellco Partnership d/b/a Verizon Wireless
Cellco","Verizon Owner Trust 2020-A
Verizon ABS LLC
Cellco Partnership d/b/a Verizon Wireless",gpt-5,llm_judge,"The model output correctly identifies the legal entity names: Verizon Owner Trust 2020-A, Verizon ABS LLC, and Cellco Partnership d/b/a Verizon Wireless from the ground truth.",MATCH
03_service_verizon.pdf,contract_type,Service Agreement,Service Agreement,gpt-5,exact_match,Exact match: 'Service Agreement' vs 'Service Agreement',MATCH
03_service_verizon.pdf,notice_period,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
03_service_verizon.pdf,expiration_date,"Cellco's appointment as custodian is effective as of the Initial Cutoff Date and will continue until the later of (i) the date on which all obligations of the Issuer have been paid in full and (ii) the date on which such appointment is terminated under this Section 3.10(f).
This Agreement will terminate on the earlier to occur of (a) the date upon which the last remaining Receivable is paid in full, settled, sold or written off and any amounts received are applied and (b) the Issuer is terminated under Section 8.1 of the Trust Agreement.",earlier of last remaining Receivable paid/settled/sold/written off and Issuer termination under Trust Agreement Section 8.1,gpt-5,llm_judge,The model output accurately summarizes the conditions for termination described in the ground truth.,MATCH
03_service_verizon.pdf,renewal_term,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
03_service_verizon.pdf,parties,"Servicer
Marketing Agent
Depositor
Issuer
VERIZON ABS LLC
Custodian
VERIZON OWNER TRUST 2020-A
Cellco Partnership d/b/a Verizon Wireless
Cellco","VERIZON OWNER TRUST 2020-A
VERIZON ABS LLC
Cellco Partnership d/b/a Verizon Wireless",gpt-5-mini,llm_judge,"The model output contains the same legal entity names as the ground truth, even though it omits ""Cellco"".",MATCH
03_service_verizon.pdf,contract_type,Service Agreement,Service Agreement,gpt-5-mini,exact_match,Exact match: 'Service Agreement' vs 'Service Agreement',MATCH
03_service_verizon.pdf,notice_period,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
03_service_verizon.pdf,expiration_date,"Cellco's appointment as custodian is effective as of the Initial Cutoff Date and will continue until the later of (i) the date on which all obligations of the Issuer have been paid in full and (ii) the date on which such appointment is terminated under this Section 3.10(f).
This Agreement will terminate on the earlier to occur of (a) the date upon which the last remaining Receivable is paid in full, settled, sold or written off and any amounts received are applied and (b) the Issuer is terminated under Section 8.1 of the Trust Agreement.","the earlier to occur of (a) the date upon which the last remaining Receivable is paid in full, settled, sold or written off and any amounts received are applied and (b) the Issuer is terminated under Section 8.1 of the Trust Agreement",gpt-5-mini,llm_judge,The model output correctly extracts the expiration date from the ground truth.,MATCH
03_service_verizon.pdf,renewal_term,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
03_service_verizon.pdf,parties,"Servicer
Marketing Agent
Depositor
Issuer
VERIZON ABS LLC
Custodian
VERIZON OWNER TRUST 2020-A
Cellco Partnership d/b/a Verizon Wireless
Cellco","VERIZON OWNER TRUST 2020-A
VERIZON ABS LLC
Cellco Partnership d/b/a Verizon Wireless",flash,llm_judge,"The model output contains the same legal entities as the ground truth, despite omitting 'Cellco'. Cellco is already included via Cellco Partnership d/b/a Verizon Wireless.",MATCH
03_service_verizon.pdf,contract_type,Service Agreement,Service Agreement,flash,exact_match,Exact match: 'Service Agreement' vs 'Service Agreement',MATCH
03_service_verizon.pdf,notice_period,,,flash,empty_check,Both ground truth and model output are empty,MATCH
03_service_verizon.pdf,expiration_date,"Cellco's appointment as custodian is effective as of the Initial Cutoff Date and will continue until the later of (i) the date on which all obligations of the Issuer have been paid in full and (ii) the date on which such appointment is terminated under this Section 3.10(f).
This Agreement will terminate on the earlier to occur of (a) the date upon which the last remaining Receivable is paid in full, settled, sold or written off and any amounts received are applied and (b) the Issuer is terminated under Section 8.1 of the Trust Agreement.",,flash,empty_check,"One is empty, other is not (GT empty=False, Model empty=True)",NO_MATCH
03_service_verizon.pdf,renewal_term,,,flash,empty_check,Both ground truth and model output are empty,MATCH
04_service_integrity.pdf,parties,"Integrity Short Term Government Fund
Integrity
Integrity Funds Distributor, LLC
Fund","Integrity Short Term Government Fund
Integrity Funds Distributor, LLC",sonnet,llm_judge,"The model output includes the entities ""Integrity Short Term Government Fund"" and ""Integrity Funds Distributor, LLC"" which are present in the ground truth. The model output does not include ""Integrity"" and ""Fund"" which are present in the ground truth. Since the model output does not capture all of the legal entities from the ground truth, it is not a complete match, but given the instructions to focus on legal entity names, and to exclude shortened names like ""Fund"" and implied entities such as ""Integrity"" which likely refers to the Integrity fund company, it is marked as a MATCH.",MATCH
04_service_integrity.pdf,contract_type,Service Agreement,Distributor Agreement,sonnet,exact_match,Exact match: 'Service Agreement' vs 'Distributor Agreement',NO_MATCH
04_service_integrity.pdf,notice_period,,,sonnet,empty_check,Both ground truth and model output are empty,MATCH
04_service_integrity.pdf,expiration_date,"This Agreement shall continue until January 18, 2022, and thereafter shall continue automatically for successive annual periods ending on January 18th of each year, provided such continuance is specifically approved at least annually by (a) the Fund's Board of Trustees and (b) a vote of a majority (as defined in the 1940 Act) of the Fund's Trustees who are not interested persons (as defined in the 1940 Act) of the Fund and who have no direct or indirect financial interest in the operation of the Plan, in this Agreement, or any agreement related to the Plan (the ""Qualified Trustees""), by vote cast in person at a meeting called for the purpose of voting on such approval.",2022-01-18,sonnet,llm_judge,"The model output '2022-01-18' correctly captures the initial expiration date of January 18, 2022, as stated in the ground truth.",MATCH
04_service_integrity.pdf,renewal_term,"This Agreement shall continue until January 18, 2022, and thereafter shall continue automatically for successive annual periods ending on January 18th of each year, provided such continuance is specifically approved at least annually by (a) the Fund's Board of Trustees and (b) a vote of a majority (as defined in the 1940 Act) of the Fund's Trustees who are not interested persons (as defined in the 1940 Act) of the Fund and who have no direct or indirect financial interest in the operation of the Plan, in this Agreement, or any agreement related to the Plan (the ""Qualified Trustees""), by vote cast in person at a meeting called for the purpose of voting on such approval.","1 year, subject to annual Board approval",sonnet,llm_judge,The model output accurately captures the key aspects of the renewal term: a 1-year renewal period and the condition that it's subject to annual Board approval.,MATCH
04_service_integrity.pdf,parties,"Integrity Short Term Government Fund
Integrity
Integrity Funds Distributor, LLC
Fund","Integrity Short Term Government Fund
Integrity Funds Distributor, LLC",gpt-5,llm_judge,"The model output includes the legal entity names ""Integrity Short Term Government Fund"" and ""Integrity Funds Distributor, LLC"", which are present in the ground truth. While ""Integrity"" and ""Fund"" are present in ground truth, they are likely shorthand or incomplete names rather than the full legal entities. The model output captures the core legal entities.",MATCH
04_service_integrity.pdf,contract_type,Service Agreement,Distributor Agreement,gpt-5,exact_match,Exact match: 'Service Agreement' vs 'Distributor Agreement',NO_MATCH
04_service_integrity.pdf,notice_period,,,gpt-5,empty_check,Both ground truth and model output are empty,MATCH
04_service_integrity.pdf,expiration_date,"This Agreement shall continue until January 18, 2022, and thereafter shall continue automatically for successive annual periods ending on January 18th of each year, provided such continuance is specifically approved at least annually by (a) the Fund's Board of Trustees and (b) a vote of a majority (as defined in the 1940 Act) of the Fund's Trustees who are not interested persons (as defined in the 1940 Act) of the Fund and who have no direct or indirect financial interest in the operation of the Plan, in this Agreement, or any agreement related to the Plan (the ""Qualified Trustees""), by vote cast in person at a meeting called for the purpose of voting on such approval.",2022-01-18,gpt-5,llm_judge,"The model output of '2022-01-18' accurately reflects the initial expiration date of 'January 18, 2022' mentioned in the ground truth.",MATCH
04_service_integrity.pdf,renewal_term,"This Agreement shall continue until January 18, 2022, and thereafter shall continue automatically for successive annual periods ending on January 18th of each year, provided such continuance is specifically approved at least annually by (a) the Fund's Board of Trustees and (b) a vote of a majority (as defined in the 1940 Act) of the Fund's Trustees who are not interested persons (as defined in the 1940 Act) of the Fund and who have no direct or indirect financial interest in the operation of the Plan, in this Agreement, or any agreement related to the Plan (the ""Qualified Trustees""), by vote cast in person at a meeting called for the purpose of voting on such approval.",1 year auto-renewal,gpt-5,llm_judge,"The model output accurately summarizes the ground truth, capturing the key aspects of the auto-renewal and its 1-year duration, even though it omits the specific conditions for renewal approval.",MATCH
04_service_integrity.pdf,parties,"Integrity Short Term Government Fund
Integrity
Integrity Funds Distributor, LLC
Fund","Integrity Short Term Government Fund
Integrity Funds Distributor, LLC",gpt-5-mini,llm_judge,"The model correctly identifies two of the legal entities: Integrity Short Term Government Fund and Integrity Funds Distributor, LLC. It omits 'Integrity' and 'Fund', which are shorthand names rather than full legal entity names.",MATCH
04_service_integrity.pdf,contract_type,Service Agreement,Distributor Agreement,gpt-5-mini,exact_match,Exact match: 'Service Agreement' vs 'Distributor Agreement',NO_MATCH
04_service_integrity.pdf,notice_period,,,gpt-5-mini,empty_check,Both ground truth and model output are empty,MATCH
04_service_integrity.pdf,expiration_date,"This Agreement shall continue until January 18, 2022, and thereafter shall continue automatically for successive annual periods ending on January 18th of each year, provided such continuance is specifically approved at least annually by (a) the Fund's Board of Trustees and (b) a vote of a majority (as defined in the 1940 Act) of the Fund's Trustees who are not interested persons (as defined in the 1940 Act) of the Fund and who have no direct or indirect financial interest in the operation of the Plan, in this Agreement, or any agreement related to the Plan (the ""Qualified Trustees""), by vote cast in person at a meeting called for the purpose of voting on such approval.",2022-01-18,gpt-5-mini,llm_judge,"The model output '2022-01-18' correctly captures the initial expiration date mentioned in the ground truth 'January 18, 2022'.",MATCH
04_service_integrity.pdf,renewal_term,"This Agreement shall continue until January 18, 2022, and thereafter shall continue automatically for successive annual periods ending on January 18th of each year, provided such continuance is specifically approved at least annually by (a) the Fund's Board of Trustees and (b) a vote of a majority (as defined in the 1940 Act) of the Fund's Trustees who are not interested persons (as defined in the 1940 Act) of the Fund and who have no direct or indirect financial interest in the operation of the Plan, in this Agreement, or any agreement related to the Plan (the ""Qualified Trustees""), by vote cast in person at a meeting called for the purpose of voting on such approval.",1 year auto-renewal (successive annual periods ending Jan 18; subject to annual approval by Fund's Board and Qualified Trustees),gpt-5-mini,llm_judge,"The model output accurately captures the essence of the ground truth, including the annual auto-renewal and the condition of approval by the Fund's Board and Qualified Trustees.",MATCH
04_service_integrity.pdf,parties,"Integrity Short Term Government Fund
Integrity
Integrity Funds Distributor, LLC
Fund","Integrity Short Term Government Fund
Integrity Funds Distributor, LLC",flash,llm_judge,"The model output includes the two key legal entities: Integrity Short Term Government Fund, and Integrity Funds Distributor, LLC. It excludes Integrity and Fund which are shorthand.",MATCH
04_service_integrity.pdf,contract_type,Service Agreement,Distributor Agreement,flash,exact_match,Exact match: 'Service Agreement' vs 'Distributor Agreement',NO_MATCH
04_service_integrity.pdf,notice_period,,,flash,empty_check,Both ground truth and model output are empty,MATCH
04_service_integrity.pdf,expiration_date,"This Agreement shall continue until January 18, 2022, and thereafter shall continue automatically for successive annual periods ending on January 18th of each year, provided such continuance is specifically approved at least annually by (a) the Fund's Board of Trustees and (b) a vote of a majority (as defined in the 1940 Act) of the Fund's Trustees who are not interested persons (as defined in the 1940 Act) of the Fund and who have no direct or indirect financial interest in the operation of the Plan, in this Agreement, or any agreement related to the Plan (the ""Qualified Trustees""), by vote cast in person at a meeting called for the purpose of voting on such approval.",2022-01-18,flash,llm_judge,"The model output ""2022-01-18"" correctly captures the initial expiration date mentioned in the ground truth: ""January 18, 2022"".",MATCH
04_service_integrity.pdf,renewal_term,"This Agreement shall continue until January 18, 2022, and thereafter shall continue automatically for successive annual periods ending on January 18th of each year, provided such continuance is specifically approved at least annually by (a) the Fund's Board of Trustees and (b) a vote of a majority (as defined in the 1940 Act) of the Fund's Trustees who are not interested persons (as defined in the 1940 Act) of the Fund and who have no direct or indirect financial interest in the operation of the Plan, in this Agreement, or any agreement related to the Plan (the ""Qualified Trustees""), by vote cast in person at a meeting called for the purpose of voting on such approval.",1 year auto-renewal,flash,llm_judge,"The model output accurately summarizes the renewal term described in the ground truth, capturing the key aspects of annual auto-renewal with specific board approval.",MATCH
05_license_gopage.pdf,parties,"PSiTech Corporation
Licensor
Licensee
Empirical Ventures, Inc.","PSiTech Corporation
Empirical Ventures, Inc.",sonnet,llm_judge,"The model output correctly identifies the legal entities: PSiTech Corporation and Empirical Ventures, Inc.",MATCH
05_license_gopage.pdf,contract_type,License Agreement,License Agreement,sonnet,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
05_license_gopage.pdf,notice_period,"Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].",90 days,sonnet,llm_judge,The model output '90 days' accurately reflects the notice period of ninety (90) days mentioned in the ground truth.,MATCH
05_license_gopage.pdf,expiration_date,"The initial term of this Agreement commences as of the Effective Date and, unless terminated earlier pursuant to any express provision of this Agreement, shall continue until five (5) years following the Effective Date (the ""Initial Term"").",5 years from Effective Date,sonnet,llm_judge,The model output accurately summarizes the ground truth's description of the expiration date as 5 years from the Effective Date.,MATCH
05_license_gopage.pdf,renewal_term,"Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].",3 years auto-renewal,sonnet,llm_judge,The model output captures the core information about the renewal term: its duration (3 years) and that it's an automatic renewal.,MATCH
05_license_gopage.pdf,parties,"PSiTech Corporation
Licensor
Licensee
Empirical Ventures, Inc.","PSiTech Corporation
Empirical Ventures, Inc.",gpt-5,llm_judge,"The model output correctly identifies the two legal entities: PSiTech Corporation and Empirical Ventures, Inc.",MATCH
05_license_gopage.pdf,contract_type,License Agreement,License Agreement,gpt-5,exact_match,Exact match: 'License Agreement' vs 'License Agreement',MATCH
05_license_gopage.pdf,notice_period,"Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].",90 days,gpt-5,llm_judge,The model correctly extracts the notice period of 90 days.,MATCH
05_license_gopage.pdf,expiration_date,"The initial term of this Agreement commences as of the Effective Date and, unless terminated earlier pursuant to any express provision of this Agreement, shall continue until five (5) years following the Effective Date (the ""Initial Term"").",5 years following the Effective Date,gpt-5,llm_judge,"The model output accurately captures the expiration date as '5 years following the Effective Date', which is consistent with the ground truth.",MATCH
05_license_gopage.pdf,renewal_term,"Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].",3 years auto-renewal (one additional term),gpt-5,llm_judge,"The model output accurately summarizes the renewal term, capturing the 3-year auto-renewal and mentioning it's for one additional term.",MATCH
05_license_gopage.pdf,parties,"PSiTech Corporation
Licensor
Licensee
Empirical Ventures, Inc.","PSiTech Corporation
Empirical Ventures, Inc.",gpt-5-mini,llm_judge,"The model output correctly identifies the two legal entity names, 'PSiTech Corporation' and 'Empirical Ventures, Inc.' from the ground truth. The roles 'Licensor' and 'Licensee' are correctly ignored.",MATCH
